n_estimators,r2_score,mae_score,mse_score,rmse_score,evs_score,medae_score
10,0.9095170978629414,0.2501296362301661,0.2275432426381634,0.47701492915648186,0.909806403368955,0.09150517599999985
20,0.917101566595758,0.23765918635853822,0.20847008551795188,0.4565852445249976,0.9173832737619676,0.08825729405000038
30,0.9187907593754847,0.23416295023433,0.20422216250197933,0.4519094627267494,0.919096896320092,0.0921441404333323
40,0.919248790793424,0.23219258622358804,0.20307032108656817,0.45063324454213116,0.9196051608945346,0.0862133035249999
50,0.9200017872565129,0.2308055789987641,0.20117671187577202,0.44852726993547676,0.9204050961169161,0.08837312252000062
60,0.9196809553627089,0.23049773303733112,0.20198352871888478,0.4494257766515899,0.9201231787263071,0.08744819303333351
70,0.919630151527377,0.2305140422985382,0.20211128842991116,0.44956789079060255,0.920086793039738,0.08850788001428533
80,0.9189908516951021,0.23067093830686047,0.2037189773238145,0.45135238708110814,0.9194144887804692,0.08715799322500006
90,0.9183095657174373,0.23159282587477295,0.20543225150999087,0.453246347486652,0.9187378509798999,0.08886661360000025
100,0.9183724919208605,0.2310940494468173,0.20527400689100067,0.45307174585378934,0.9188036128246626,0.08751255054000051
110,0.9181042900735091,0.23131138828750228,0.20594847153113136,0.45381545977537097,0.9185284098298624,0.08432766305454487
120,0.9183698764728102,0.23127853924846073,0.20528058412842604,0.453079004290009,0.9187639522509349,0.08639841226666611
130,0.9186369276823177,0.23113049725935095,0.2046090130721646,0.45233727800410684,0.9190322094821884,0.08805416403846045
140,0.9188919328326215,0.2315825901669056,0.20396773502494125,0.4516278722852934,0.9192766027330106,0.08972287447142913
150,0.9188142630280154,0.23151916150818608,0.20416305633734116,0.4518440619697698,0.9191930865880441,0.08733729620666297
160,0.9185334395489384,0.23221681553794024,0.20486926141618936,0.45262485726724,0.9189341520180191,0.0889720672437504
170,0.9190440580818698,0.23166980651945676,0.2035851757603338,0.45120413978634305,0.9194423920729817,0.08956776722940907
180,0.9189273351809069,0.23180226952575866,0.2038787064357206,0.4515292974278863,0.9193314176396954,0.08952225776111089
190,0.9192430839474318,0.23159327850196193,0.20308467246358686,0.45064916782746517,0.9196399153750552,0.08830780978421066
200,0.9193155504404901,0.23179619282427247,0.2029024362573683,0.45044692945714293,0.9197046382910826,0.08827144818499977
